region,Art Form,(Village/City),State,Type,Description
South,Kalamkari Art,Srikalahasti,Andhra Pradesh,Painting,Hand-painted and block-printed textile art depicting mythological scenes(Srikalahasti style uses pen for freehand drawing).
South,Kalamkari Art,Machilipatnam,Andhra Pradesh,Painting,Block-printed textile art with Persian influences and natural dyes.
South,Etikoppaka Toys,Etikoppaka,Andhra Pradesh,Toy Craft,Traditional lacquered wooden toys and figurines, made using natural dyes.
South,Lepakshi Frescoes,Lepakshi,Andhra Pradesh,Mural,16th-century temple murals and ceiling paintings in Veerabhadra Temple.
Northeast,Monpa Wood Carving,Tawang,Arunachal Pradesh,Woodcraft,Intricate wood carvings for monasteries and homes by Monpa artisans.
Northeast,Thangka Painting,Tawang,Arunachal Pradesh,Painting,Buddhist scroll paintings depicting deities and mandalas.
Northeast,Handwoven Textiles,Ziro,Arunachal Pradesh,Textile,Apatani handloom weaving, geometric patterns, natural dyes.
Northeast,Bamboo Crafts,Pasighat,Arunachal Pradesh,Bamboo Craft,Utility and decorative items made from locally sourced bamboo.
Northeast,Sualkuchi Silk Weaving,Sualkuchi,Assam,Textile,Known as the 'Manchester of Assam', famous for Muga and Eri silk weaving.
Northeast,Satriya Dance & Mask-Making,Majuli,Assam,Performing Art/Craft,Vaishnavite monastic dance and traditional mask-making for religious plays.
Northeast,Classical Assamese Dance,Tezpur,Assam,Performing Art,Center for Sattriya and classical Assamese dance forms.
East,Madhubani (Mithila) Painting,Madhubani,Bihar,Painting,Folk painting style with symbolic motifs, practiced by women on walls and paper.
East,Manjusha Art,Bhagalpur,Bihar,Painting,Mythological folk art with serpent motifs, traditionally on boxes and scrolls.
East,Patna Qalam,Patna,Bihar,Miniature Painting,Distinct Mughal-influenced miniature painting school.
Central,Bastar Art,Jagdalpur,Chhattisgarh,Metalcraft/Painting,Dhokra (lost-wax) metal craft, tribal paintings, and woodwork.
Central,Pithora Painting,Rajnandgaon,Chhattisgarh,Painting,Ritual wall paintings by tribal communities, vibrant and symbolic.
West,Christian Religious Art,Old Goa,Goa,Painting/Sculpture,Baroque and Renaissance art in churches and cathedrals.
West,Contemporary Art Scene,Panaji,Goa,Painting/Sculpture,Modern galleries and street art; Fontainhas for colorful murals.
West,Warli Painting,Dahod,Gujarat,Tribal Painting,Tribal wall paintings with geometric forms, depicting daily life.
West,Pithora Painting,Panchmahal,Gujarat,Tribal Painting,Ritualistic wall paintings by Rathwa and Bhil tribes.
West,Bandhani Textiles,Jamnagar,Gujarat,Textile,Tie-dye textile art with intricate patterns.
West,Patola Weaving,Patan,Gujarat,Textile,Double-ikat silk weaving, highly prized for precision.
West,Kutchi Embroidery,Bhuj,Gujarat,Embroidery,Colorful mirror work and thread embroidery by Kutch artisans.
North,Phulkari Embroidery,Rohtak,Haryana,Embroidery,Floral embroidery on shawls and dupattas, vibrant colors.
