Site Name,Location (Village/City),State,Type,Description,Latitude,Longitude
Veerabhadra Temple (Lepakshi),Lepakshi,Andhra Pradesh,Temple,"16th-century Vijayanagara temple famous for its hanging pillar, intricate frescoes, and monolithic Nandi.",13.8046,77.5946
Amaravati Stupa,Amaravati,Andhra Pradesh,Buddhist Site,"Ancient Buddhist stupa and archaeological site, significant in early Buddhist history.",16.5736,80.3573
Tirumala Venkateswara Temple,Tirupati,Andhra Pradesh,Temple,"World-famous hilltop temple, major Hindu pilgrimage center.",13.6837,79.3473
Tawang Monastery,Tawang,Arunachal Pradesh,Monastery,"One of the largest monasteries in India, center of Mahayana Buddhism.",27.5867,91.8667
Ita Fort,Itanagar,Arunachal Pradesh,Fort,"Historic 14th-15th century fort built by the Ahom kings, showcases tribal and medieval architecture.",27.1026,93.6225
Sivasagar Monuments,Sivasagar,Assam,Palace/Temple,"Ahom dynasty heritage: Rang Ghar, Talatal Ghar, Shiva Dol temples.",26.9840,94.6374
Majuli Island,Majuli,Assam,Cultural Island,"World’s largest river island, hub of Vaishnavite culture and satras (monasteries).",26.9547,94.1450
Mahabodhi Temple,Bodh Gaya,Bihar,Temple,"UNESCO site where Buddha attained enlightenment, major Buddhist pilgrimage.",24.6950,84.9914
Nalanda University Ruins,Nalanda,Bihar,Ancient University,"Ruins of ancient Buddhist university, UNESCO World Heritage Site.",25.1357,85.4432
Sirpur Archaeological Site,Sirpur,Chhattisgarh,Archaeological Site,"Buddhist, Hindu, and Jain ruins; ancient temples and monasteries.",21.3442,82.5938
Tribal Art of Raipur,Raipur,Chhattisgarh,Art/Craft,"Known for traditional tribal crafts, bell metal work, and folk culture.",21.2514,81.6296
Churches and Convents of Old Goa,Old Goa,Goa,Churches,"UNESCO World Heritage churches and cathedrals from Portuguese era.",15.5042,73.9122
Fontainhas Latin Quarter,Panjim,Goa,Heritage Quarter,"Colonial-era Latin quarter with colorful houses, winding lanes, and Portuguese heritage.",15.4927,73.8278
Historic City of Ahmedabad,Ahmedabad,Gujarat,City,"India's first UNESCO World Heritage City, Indo-Islamic and colonial architecture.",23.0225,72.5714
Champaner-Pavagadh Archaeological Park,Champaner,Gujarat,Archaeological Park,"UNESCO World Heritage site with forts, mosques, stepwells, and temples.",22.4950,73.5333
Kurukshetra Battlefield,Kurukshetra,Haryana,Historic Site,"Mythological site of Mahabharata war, pilgrimage and heritage spots.",29.9695,76.8783
Panipat Battlefields,Panipat,Haryana,Historic Site,"Site of three major battles in Indian history, with memorials and museums.",29.3909,76.9635
Shimla Colonial Heritage,Shimla,Himachal Pradesh,Colonial Town,"British-era hill station, heritage buildings, and churches.",31.1048,77.1734
Chamba Temples & Miniature Paintings,Chamba,Himachal Pradesh,Temple/Art,"Famous for ancient temples and Pahari miniature paintings.",32.5550,76.1250
Baidyanath Temple,Deoghar,Jharkhand,Temple,"One of the 12 Jyotirlingas, major Hindu pilgrimage site.",24.4821,86.6946
Maluti Terracotta Temples,Maluti,Jharkhand,Temple,"Cluster of terracotta temples with unique folk art, rural setting.",24.6186,87.7661
Hampi Monuments,Hampi,Karnataka,UNESCO Site,"Ruins of Vijayanagara Empire, temples, bazaars, and stone chariots.",15.3350,76.4600
Mysore Palace,Mysuru,Karnataka,Palace,"Opulent royal palace, Dasara festival, Indo-Saracenic architecture.",12.3051,76.6551
Fort Kochi & Mattancherry,Kochi,Kerala,Historic Quarter,"Colonial and spice trade heritage, synagogues, churches, and palaces.",9.9632,76.2426
Padmanabhaswamy Temple,Thiruvananthapuram,Kerala,Temple,"Ancient temple known for its Dravidian architecture and immense wealth.",8.4855,76.9492
Khajuraho Group of Monuments,Khajuraho,Madhya Pradesh,UNESCO Site,"World-famous for erotic temples and intricate sculptures.",24.8318,79.9199
Sanchi Stupa,Sanchi,Madhya Pradesh,UNESCO Site,"Ancient Buddhist stupas and monasteries, UNESCO World Heritage Site.",23.4793,77.7369
Ajanta Caves,Aurangabad,Maharashtra,UNESCO Site,"Ancient Buddhist cave paintings and sculptures.",20.5519,75.7033
Ellora Caves,Aurangabad,Maharashtra,UNESCO Site,"Rock-cut cave temples of Buddhist, Hindu, and Jain traditions.",20.0268,75.1786
Gateway of India & Chhatrapati Shivaji Terminus,Mumbai,Maharashtra,Colonial City,"Colonial architecture, UNESCO-listed railway station, cultural hub.",18.9218,72.8347
Kangla Fort,Imphal,Manipur,Fort,"Ancient seat of Meitei rulers, symbol of Manipuri heritage.",24.8081,93.9368
INA Museum & Loktak Lake,Moirang,Manipur,Museum/Natural,"Indian National Army Museum and Loktak Lake with phumdis (floating islands).",24.4926,93.7835
Shillong Colonial & Khasi Heritage,Shillong,Meghalaya,Colonial/Tribal,"British-era town, Khasi tribal culture, music and festivals.",25.5788,91.8933
